anchorID, TransmitterID, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, Avg, Distance
Bed4, 100, -59, -61, -63, -54, -67, -60, -59, -54, -60, -57, -59, -52, -63, -58, -54, -55, -63, -61, -59, -54, -58, -61, -61, -55, -60, -51, -67, -52, -55, -63, -59, -51, -63, -59, -63, -67, -52, -51, -54, -57, -58, -67, -54, -51, -59, -51, -59, -67, -63, -54, -54, -54, -59, -59, -54, -67, -63, -67, -59, -59, -59, -67, -58, -59, -59, -54, -53, -58, -51, -67, -67, -57, -67, -52, -54, -51, -59, -63, -66, -58, -63, -60, -54, -61, -52, -63, -54, -54, -59, -52, -55, -59, -59, -59, -51, -54, -59, -61, -54, -54, -59, -67, -63, -63, -55, -59, -52, -63, -51, -67, -67, -55, -54, -59, -52, -67, -59, -58, -52, -58.378151260504204, 2.31
Bed4, C4, -61, -63, -72, -61, -61, -65, -65, -61, -60, -63, -70, -65, -61, -60, -66, -64, -68, -64, -70, -72, -65, -68, -73, -74, -62, -62, -74, -63, -69, -60, -74, -74, -65, -66, -69, -66, -62, -69, -62, -63, -65, -61, -69, -72, -59, -65, -69, -65, -65, -66, -71, -66, -63, -61, -63, -75, -74, -66, -61, -63, -69, -69, -75, -75, -66, -67, -65, -65, -61, -65, -66, -66, -72, -63, -61, -75, -75, -72, -66, -69, -62, -66, -71, -60, -61, -68, -68, -72, -62, -69, -66, -66, -60, -68, -62, -63, -61, -69, -62, -63, -59, -65, -72, -62, -66, -65, -65, -65, -61, -60, -74, -60, -63, -60, -65, -72, -65, -60, -74, -65.92436974789916, 3.2
E11, Bed4, -62, -58, -58, -58, -68, -68, -61, -58, -67, -67, -69, -62, -67, -69, -61, -68, -59, -57, -68, -62, -58, -69, -69, -62, -58, -62, -58, -68, -62, -61, -61, -58, -58, -61, -61, -68, -58, -62, -58, -61, -69, -62, -58, -69, -59, -68, -68, -68, -68, -68, -62, -68, -69, -59, -62, -67, -59, -58, -58, -68, -62, -62, -59, -62, -62, -62, -62, -58, -58, -58, -68, -68, -62, -68, -68, -62, -68, -68, -58, -58, -69, -62, -62, -58, -67, -62, -65, -68, -62, -68, -61, -58, -62, -58, -58, -69, -62, -58, -62, -58, -59, -58, -69, -69, -68, -58, -67, -58, -62, -68, -68, -68, -68, -68, -58, -58, -69, -58, -62, -63.04201680672269, 0.97
E11, E10, -64, -72, -73, -64, -64, -72, -74, -71, -72, -71, -64, -64, -72, -73, -72, -64, -71, -72, -72, -71, -72, -71, -65, -64, -64, -72, -65, -73, -71, -71, -73, -64, -72, -72, -65, -72, -73, -64, -65, -72, -64, -72, -63, -71, -64, -72, -64, -72, -71, -73, -64, -64, -64, -72, -73, -64, -64, -72, -71, -64, -73, -73, -64, -71, -73, -74, -71, -64, -65, -73, -72, -72, -72, -73, -64, -65, -73, -64, -64, -64, -74, -64, -71, -64, -65, -64, -73, -73, -73, -71, -64, -64, -64, -72, -71, -73, -65, -72, -71, -65, -72, -64, -72, -65, -73, -72, -71, -73, -73, -72, -72, -72, -73, -72, -73, -64, -74, -73, -65, -69.17647058823529, 3.13
E11, C9, -73, -68, -78, -73, -78, -73, -73, -74, -73, -79, -78, -79, -73, -68, -73, -68, -74, -78, -68, -68, -79, -68, -78, -73, -79, -78, -73, -78, -73, -79, -68, -68, -78, -79, -68, -73, -74, -79, -68, -73, -79, -68, -73, -78, -68, -73, -80, -68, -73, -68, -79, -80, -68, -73, -79, -68, -68, -68, -73, -68, -73, -80, -73, -79, -73, -73, -73, -68, -73, -68, -73, -81, -73, -68, -73, -79, -68, -73, -68, -74, -80, -74, -68, -68, -73, -73, -78, -73, -68, -79, -73, -73, -68, -73, -73, -74, -73, -73, -68, -73, -68, -73, -68, -68, -74, -74, -73, -73, -79, -73, -78, -74, -73, -73, -80, -73, -80, -73, -79, -73.36974789915966, 3.79
E11, D2, -73, -73, -72, -73, -70, -72, -71, -71, -70, -72, -70, -73, -71, -73, -74, -73, -74, -70, -74, -73, -73, -71, -70, -74, -73, -71, -70, -73, -72, -72, -72, -73, -71, -73, -73, -70, -73, -73, -73, -70, -72, -72, -73, -72, -73, -73, -70, -71, -72, -70, -73, -70, -73, -73, -71, -72, -73, -71, -73, -71, -71, -72, -73, -73, -71, -72, -70, -72, -72, -73, -72, -73, -70, -73, -70, -71, -70, -71, -72, -70, -73, -71, -73, -73, -73, -70, -70, -73, -71, -71, -71, -74, -70, -73, -71, -73, -71, -70, -71, -74, -71, -71, -70, -73, -71, -70, -73, -70, -70, -73, -71, -73, -72, -73, -70, -70, -73, -73, -73, -71.82352941176471, 2.69
E11, 100, -67, -64, -67, -65, -67, -66, -64, -67, -67, -67, -65, -65, -64, -64, -67, -65, -64, -66, -65, -67, -67, -67, -68, -64, -64, -64, -67, -65, -68, -65, -64, -64, -66, -65, -67, -63, -64, -64, -67, -63, -66, -67, -65, -66, -66, -67, -63, -66, -66, -67, -65, -67, -67, -63, -65, -66, -67, -65, -65, -63, -67, -65, -64, -67, -64, -65, -64, -67, -64, -66, -65, -63, -66, -67, -64, -63, -64, -67, -67, -63, -66, -67, -64, -66, -63, -66, -67, -67, -62, -67, -66, -65, -67, -64, -64, -65, -63, -66, -67, -67, -67, -66, -64, -67, -64, -63, -64, -64, -67, -67, -67, -64, -64, -64, -67, -64, -68, -65, -64, -65.39495798319328, 3.22
E10, Bed4, -73, -71, -74, -72, -70, -73, -72, -75, -72, -74, -73, -73, -71, -73, -71, -72, -75, -75, -75, -75, -75, -70, -75, -71, -70, -70, -74, -71, -71, -75, -73, -73, -70, -74, -75, -75, -77, -74, -70, -75, -75, -75, -71, -75, -73, -74, -75, -75, -73, -70, -74, -74, -71, -75, -71, -75, -70, -73, -73, -73, -70, -74, -73, -75, -70, -73, -75, -73, -74, -74, -74, -73, -74, -70, -74, -74, -73, -73, -74, -73, -74, -72, -73, -71, -71, -71, -73, -73, -72, -74, -74, -74, -70, -71, -74, -71, -73, -74, -72, -75, -74, -71, -73, -74, -72, -72, -72, -75, -70, -73, -75, -76, -75, -75, -73, -73, -73, -71, -70, -72.97478991596638, 4.1
E10, E11, -70, -72, -65, -71, -71, -71, -70, -65, -65, -71, -71, -70, -65, -73, -66, -72, -71, -70, -70, -73, -71, -71, -72, -72, -70, -73, -71, -65, -73, -72, -64, -73, -72, -65, -65, -72, -72, -72, -72, -65, -72, -65, -65, -73, -72, -72, -70, -73, -73, -66, -71, -65, -65, -65, -70, -72, -65, -70, -72, -65, -73, -71, -72, -71, -70, -73, -66, -72, -70, -71, -70, -73, -72, -73, -72, -65, -65, -66, -72, -71, -71, -70, -65, -73, -71, -65, -65, -72, -72, -73, -71, -70, -70, -64, -71, -71, -72, -72, -72, -70, -66, -73, -72, -71, -65, -73, -73, -66, -71, -70, -72, -71, -71, -72, -70, -72, -70, -73, -71, -69.95798319327731, 3.13
E10, C9, -69, -71, -73, -70, -69, -70, -71, -73, -73, -73, -69, -70, -69, -73, -71, -69, -73, -71, -73, -70, -73, -73, -73, -70, -73, -73, -71, -69, -69, -71, -70, -73, -70, -71, -70, -69, -70, -70, -70, -70, -70, -73, -70, -73, -73, -70, -69, -73, -70, -73, -73, -73, -69, -70, -69, -70, -70, -73, -71, -70, -70, -71, -70, -73, -70, -70, -74, -70, -70, -74, -74, -70, -74, -70, -73, -70, -69, -70, -74, -70, -73, -70, -70, -73, -70, -70, -70, -73, -73, -73, -70, -73, -73, -69, -69, -73, -69, -70, -70, -69, -70, -73, -73, -73, -70, -69, -73, -70, -70, -70, -69, -73, -73, -73, -70, -73, -70, -69, -73, -71.09243697478992, 2.18
