anchorID, TransmitterID, POI, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, Avg, Distance
C4, b2, 2, -74, -75, -75, -75, -70, -70, -77, -75, -75, -75, -74, -74, -72, -76, -77, -77, -76, -77, -73, -73, -73, -77, -77, -77, -76, -76, -76, -74, -74, -74, -75, -77, -76, -76, -73, -74, -75, -75, -75, -77, -73, -73, -73, -73, -77, -73, -74, -76, -75, -77, -74, -74, -75, -75, -76, -76, -76, -74, -74, -75, -76, -76, -77, -77, -77, -77, -76, -76, -75, -76, -76, -75, -75, -74, -75, -77, -77, -77, -75, -75, -75, -78, -77, -77, -76, -76, -75, -75, -75, -75, -74, -74, -75, -75, -78, -78, -78, -73, -73, -77, -77, -73, -75, -75, -74, -74, -76, -76, -76, -76, -72, -72, -75, -74, -74, -76, -72, -74, -74, -75.10924369747899, 3.89
Bed4, b2, 2, -74, -74, -76, -76, -80, -78, -77, -77, -77, -77, -79, -78, -78, -78, -77, -78, -78, -78, -78, -77, -78, -78, -78, -78, -78, -77, -77, -78, -78, -78, -78, -78, -78, -78, -75, -74, -72, -73, -73, -73, -73, -82, -82, -75, -76, -74, -89, -89, -88, -87, -74, -75, -75, -77, -77, -76, -76, -75, -75, -92, -91, -91, -91, -76, -76, -75, -75, -75, -75, -75, -78, -78, -76, -76, -76, -76, -76, -76, -76, -77, -76, -76, -76, -76, -79, -76, -76, -76, -76, -77, -78, -78, -75, -75, -76, -76, -76, -76, -77, -77, -77, -77, -75, -75, -75, -75, -78, -76, -76, -76, -76, -76, -76, -76, -76, -78, -78, -76, -76, -77.33613445378151, 5.38
Bed10, b2, 2, -75, -75, -63, -61, -61, -70, -70, -70, -70, -61, -63, -63, -68, -68, -68, -72, -71, -71, -71, -71, -72, -71, -79, -70, -70, -62, -62, -62, -77, -77, -63, -62, -62, -70, -70, -70, -63, -63, -63, -63, -71, -71, -71, -71, -62, -62, -62, -69, -69, -74, -62, -62, -69, -69, -70, -70, -63, -72, -72, -62, -72, -72, -62, -63, -72, -68, -69, -69, -69, -63, -72, -77, -62, -62, -62, -72, -77, -77, -64, -63, -72, -62, -62, -69, -69, -62, -72, -63, -77, -68, -67, -63, -72, -63, -63, -63, -63, -63, -62, -63, -63, -62, -77, -77, -77, -63, -62, -69, -69, -69, -63, -63, -72, -72, -72, -72, -77, -69, -64, -67.75630252100841, 9.88
E14, b2, 2, -81, -81, -69, -70, -70, -70, -74, -71, -87, -87, -87, -79, -79, -79, -89, -89, -83, -68, -68, -68, -68, -68, -87, -87, -87, -87, -68, -79, -87, -87, -78, -67, -77, -76, -76, -76, -78, -78, -78, -68, -70, -70, -87, -87, -87, -87, -71, -71, -71, -68, -68, -68, -68, -81, -82, -82, -82, -82, -81, -81, -85, -85, -85, -85, -76, -85, -75, -75, -75, -75, -87, -87, -76, -76, -85, -85, -85, -85, -85, -85, -86, -85, -85, -85, -76, -76, -76, -76, -76, -84, -85, -85, -85, -85, -86, -75, -75, -75, -75, -75, -75, -86, -92, -94, -85, -85, -75, -75, -84, -84, -84, -84, -84, -84, -81, -81, -81, -74, -80, -79.50420168067227, 8.57
E15, b2, 3, -84, -84, -64, -64, -60, -64, -64, -64, -68, -59, -63, -63, -67, -65, -66, -60, -64, -65, -65, -64, -61, -60, -61, -61, -64, -64, -64, -65, -65, -65, -67, -67, -65, -65, -63, -62, -66, -65, -65, -65, -65, -62, -62, -65, -65, -65, -65, -65, -65, -66, -66, -66, -61, -66, -66, -65, -65, -63, -66, -66, -65, -65, -65, -65, -62, -65, -65, -65, -65, -65, -65, -62, -65, -66, -65, -65, -65, -65, -62, -62, -65, -65, -66, -65, -65, -65, -65, -62, -62, -64, -64, -65, -65, -65, -65, -65, -64, -64, -64, -60, -60, -64, -64, -64, -59, -63, -64, -60, -60, -60, -63, -64, -60, -63, -63, -64, -60, -60, -60, -64.21008403361344, 2.29
Bed2, b2, 3, -65, -65, -68, -64, -64, -71, -71, -71, -67, -68, -64, -69, -69, -68, -68, -68, -69, -70, -70, -70, -70, -70, -70, -68, -68, -68, -67, -67, -67, -70, -70, -70, -69, -70, -68, -70, -69, -67, -67, -68, -69, -70, -70, -67, -69, -69, -69, -67, -68, -68, -70, -69, -69, -68, -67, -68, -68, -69, -68, -68, -68, -68, -68, -70, -70, -70, -68, -69, -69, -69, -69, -69, -68, -69, -68, -68, -68, -68, -68, -69, -69, -68, -68, -68, -68, -68, -69, -68, -68, -68, -68, -68, -69, -68, -68, -70, -70, -71, -70, -66, -66, -67, -69, -69, -69, -69, -69, -70, -70, -70, -69, -69, -69, -69, -71, -71, -71, -69, -69, -68.57142857142857, 1.93
A2, b2, 3, -68, -69, -68, -72, -71, -67, -68, -68, -68, -73, -67, -67, -67, -70, -70, -72, -68, -68, -68, -68, -72, -68, -68, -68, -69, -69, -69, -69, -69, -69, -69, -69, -69, -70, -70, -68, -68, -68, -68, -69, -69, -72, -72, -72, -68, -69, -69, -69, -70, -70, -72, -72, -72, -68, -72, -72, -72, -72, -68, -68, -68, -68, -72, -72, -68, -69, -72, -68, -69, -69, -70, -72, -68, -68, -68, -75, -75, -65, -67, -67, -67, -66, -67, -68, -70, -67, -68, -68, -68, -68, -69, -70, -72, -69, -69, -69, -69, -69, -69, -69, -69, -70, -70, -70, -69, -69, -70, -70, -70, -68, -70, -69, -69, -70, -69, -68, -69, -70, -70, -69.26890756302521, 2.2
C4, b2, 3, -73, -73, -74, -74, -70, -70, -70, -76, -74, -74, -74, -69, -69, -69, -75, -75, -74, -70, -76, -75, -75, -68, -68, -74, -72, -73, -73, -79, -80, -82, -73, -73, -73, -71, -83, -84, -83, -83, -74, -74, -74, -74, -69, -76, -76, -72, -72, -68, -69, -77, -76, -72, -72, -72, -72, -72, -69, -74, -74, -74, -69, -69, -69, -74, -74, -69, -69, -74, -74, -76, -68, -68, -68, -75, -75, -74, -74, -75, -75, -75, -74, -71, -70, -70, -70, -74, -70, -70, -74, -73, -73, -73, -70, -73, -73, -74, -74, -74, -74, -69, -69, -73, -74, -74, -74, -70, -69, -69, -69, -69, -69, -73, -73, -86, -78, -72, -68, -68, -76, -72.96638655462185, 2.92
Bed4, b2, 3, -69, -70, -70, -71, -71, -73, -73, -71, -70, -70, -73, -73, -73, -75, -77, -76, -76, -74, -74, -73, -73, -73, -73, -73, -75, -75, -75, -72, -72, -72, -73, -73, -73, -76, -72, -72, -70, -70, -72, -72, -70, -70, -70, -70, -70, -73, -73, -71, -71, -70, -70, -73, -73, -72, -73, -74, -74, -74, -74, -74, -74, -73, -72, -72, -74, -73, -74, -73, -72, -72, -74, -72, -71, -72, -72, -74, -74, -74, -74, -72, -73, -75, -76, -76, -76, -76, -76, -75, -76, -76, -75, -76, -75, -75, -73, -71, -73, -73, -72, -76, -78, -77, -76, -76, -73, -73, -70, -70, -72, -69, -68, -70, -70, -70, -72, -72, -69, -69, -69, -72.78991596638656, 4.63
Bed10, b2, 3, -67, -66, -66, -66, -66, -66, -66, -66, -75, -75, -71, -71, -71, -65, -66, -66, -66, -66, -87, -65, -65, -66, -80, -81, -65, -76, -67, -71, -70, -70, -65, -65, -71, -71, -71, -71, -71, -67, -66, -85, -85, -66, -66, -65, -67, -84, -83, -66, -66, -66, -66, -71, -84, -66, -66, -76, -76, -71, -66, -67, -75, -75, -67, -91, -92, -95, -95, -95, -67, -66, -66, -91, -91, -91, -75, -76, -67, -67, -67, -67, -65, -66, -66, -76, -67, -67, -67, -67, -67, -67, -76, -76, -75, -75, -67, -68, -68, -68, -75, -65, -65, -65, -65, -76, -76, -76, -75, -66, -66, -76, -76, -76, -76, -76, -66, -75, -66, -67, -66, -71.63025210084034, 9.58
