TransmitterID,anchorID, Avg, Distance
rpi4, rpi21,-72.075,11.532
rpi4, rpi19,-73.675,12.502
rpi19, rpi18,-62.975,2.45
rpi19, rpi17,-57.175,3.521
rpi19, rpi21,-67.125,4.254
rpi19, rpi16,-62.15,4.888
rpi19, rpi13,-61.575,6.093
rpi19, rpi9,-76.85,7.102
rpi19, rpi12,-63.775,7.602
rpi19, rpi8,-74.375,9.317
rpi19, rpi15,-68.275,10.266
rpi19, rpi10,-75.725,10.64
rpi19, rpi24,-66.45,10.985
rpi19, rpi4,-72.15,12.502
rpi15, rpi24,-62.325,2.99
rpi15, rpi10,-62.25,3.607
rpi15, rpi13,-55.55,4.522
rpi15, rpi12,-54.7,5.445
rpi15, rpi16,-64.2,5.908
rpi15, rpi21,-61.95,6.513
rpi15, rpi4,-71.425,7.71
rpi15, rpi17,-69.7,7.991
rpi15, rpi9,-59.6,8.02
rpi15, rpi8,-66.55,8.436
rpi15, rpi19,-70.05,10.266
rpi15, rpi18,-67.525,10.458
rpi24, rpi15,-61.8,2.99
rpi24, rpi13,-60.65,5.604
rpi24, rpi21,-53.925,6.047
rpi24, rpi10,-71.975,6.607
rpi24, rpi12,-59.95,7.426
rpi24, rpi16,-62.45,7.745
rpi24, rpi17,-63.975,9.961
rpi24, rpi9,-68.075,10.322
rpi24, rpi4,-73.8,10.51
rpi24, rpi19,-69.875,10.985
rpi24, rpi8,-73.375,11.318
rpi24, rpi18,-71.525,12.014
rpi21, rpi13,-56.025,2.542
rpi21, rpi16,-65.1,3.78
rpi21, rpi17,-55.675,3.981
rpi21, rpi19,-68.775,4.254
rpi21, rpi12,-64.4,5.993
rpi21, rpi24,-54.65,6.047
rpi21, rpi15,-61.65,6.513
rpi21, rpi18,-64.4,6.606
rpi21, rpi9,-65.1,6.943
rpi21, rpi10,-66.95,7.862
rpi21, rpi8,-73.95,9.242
rpi21, rpi4,-74.5,11.532
rpi9, rpi8,-54.775,2.254
rpi9, rpi12,-43.125,2.634
rpi9, rpi16,-59.6,3.36
rpi9, rpi17,-62.675,3.793
rpi9, rpi4,-70.325,4.689
rpi9, rpi13,-59.025,5.222
rpi9, rpi18,-62.95,5.449
rpi9, rpi10,-62.125,5.844
rpi9, rpi21,-62.05,6.943
rpi9, rpi19,-74.95,7.102
rpi9, rpi15,-58.025,8.02
rpi9, rpi24,-66.45,10.322
rpi8, rpi9,-57.61538461538461,2.254
rpi8, rpi4,-66.76923076923077,3.43
rpi8, rpi12,-53.256410256410255,3.45
rpi8, rpi10,-68.3076923076923,5.184
rpi8, rpi16,-67.58974358974359,5.468
rpi8, rpi17,-65.74358974358974,6.169
rpi8, rpi13,-57.74358974358975,7.03
rpi8, rpi18,-74.8974358974359,7.901
rpi8, rpi15,-65.92307692307692,8.436
rpi8, rpi21,-75.02564102564102,8.731
rpi8, rpi19,-75.66666666666667,9.317
rpi8, rpi24,-73.87179487179488,11.318
rpi17, rpi16,-57.92307692307692,1.76
rpi17, rpi18,-65.64102564102564,2.53
rpi17, rpi19,-59.71794871794872,3.521
rpi17, rpi9,-64.53846153846153,3.793
rpi17, rpi13,-64.84615384615384,3.847
rpi17, rpi21,-55.7948717948718,3.981
rpi17, rpi12,-57.17948717948718,4.253
rpi17, rpi8,-66.15384615384616,6.169
rpi17, rpi10,-61.94871794871795,7.756
rpi17, rpi15,-67.07692307692308,7.991
rpi17, rpi4,-70.43589743589743,9.105
rpi17, rpi24,-72.07692307692308,9.961
rpi10, rpi15,-60.71794871794872,3.607
rpi10, rpi4,-71.07692307692308,3.65
rpi10, rpi12,-54.74358974358975,3.801
rpi10, rpi8,-70.76923076923077,5.184
rpi10, rpi13,-58.97435897435897,5.298
rpi10, rpi9,-62.8974358974359,5.844
rpi10, rpi16,-51.15384615384615,6.092
rpi10, rpi24,-71.87179487179488,6.607
rpi10, rpi17,-60.05128205128205,7.756
rpi10, rpi21,-64.58974358974359,7.862
rpi10, rpi18,-71.56410256410257,10.248
rpi10, rpi19,-75.25641025641026,10.64
rpi18, rpi19,-61.74358974358975,2.45
rpi18, rpi17,-62.53846153846154,2.53
rpi18, rpi16,-60.43589743589744,4.29
rpi18, rpi9,-63.82051282051282,5.449
rpi18, rpi13,-58.64102564102564,6.242
rpi18, rpi21,-62.97435897435897,6.606
rpi18, rpi12,-54.66666666666666,6.612
rpi18, rpi8,-73.53846153846153,7.901
rpi18, rpi10,-69.87179487179488,10.248
rpi18, rpi15,-65.46153846153847,10.458
rpi18, rpi4,-71.58974358974359,11.299
rpi18, rpi24,-68.6923076923077,12.014
